z,n.n+n.z,symbol,"energy [keV]",halflife,spin,"magnetic dipole [nm]",method,description,nsr,journal,indc
78,188,Pt,266,"66 ps",2+,+0.58(8),IPAC,"Integral Perturbed Angular Correlation",1996St12,"PRL 76 2246 (96)",indc-nds-0816
78,189,Pt,0,"10.9 h",3/2-,-0.438(8),LRIMS,"Laser Resonance Ionization Mass Spectroscopy",1992Hi07,"ZP A342 1 (92)",indc-nds-0794
78,190,Pt,1631,"0.79 ns",7-,+4.3(6),IPAD,"Integral Perturbed Angular Distribution",2006Le06,"NP A764 24 (2006)",indc-nds-0816
78,190,Pt,2297,"48 ns",10-,-0.02(4),IPAD,"Integral Perturbed Angular Distribution",2006Le06,"NP A764 24 (2006)",indc-nds-0816
78,190,Pt,2727,"1.4 ns",12+,-2.0(14),IPAD,"Integral Perturbed Angular Distribution",2006Le06,"NP A764 24 (2006)",indc-nds-0816
78,190,Pt,296,"62 ps",2+,+0.57(3),TF,"Transient Field integral perturbed angular correlation",1995An15,"NP A593 212 (95)",indc-nds-0816
78,191,Pt,0,"2.83 d",3/2-,-0.499(5),LRIMS,"Laser Resonance Ionization Mass Spectroscopy",1989Du01,"PL 217 401 (89)",indc-nds-0794
78,192,Pt,1518,"1.85 ns",7-,+3.4(8),IPAD,"Integral Perturbed Angular Distribution",2006Le06,"NP A764 24 (2006)",indc-nds-0816
78,192,Pt,2172,"272 ns",10-,-0.012(10),IPAD,"Integral Perturbed Angular Distribution",2006Le06,"NP A764 24 (2006)",indc-nds-0816
78,192,Pt,2624,"2.6 ns",12-,-2.2(11),IPAD,"Integral Perturbed Angular Distribution",2006Le06,"NP A764 24 (2006)",indc-nds-0816
78,192,Pt,317,"43.7 ps",2+,+0.60(2),TF,"Transient Field integral perturbed angular correlation",1995An15,"NP A593 212 (95)",indc-nds-0816
78,192,Pt,612,"26.5 ps",2+,+0.56(9),TF,"Transient Field integral perturbed angular correlation",1992Br03,"NP A536 366 (92)",indc-nds-0816
78,192,Pt,785,"4.2 ps",4+,+1.12(12),TF,"Transient Field integral perturbed angular correlation",1992Br03,"NP A536 366 (92)",indc-nds-0816
78,193,Pt,0,"50 y",1/2-,+0.601(8),LRIMS,"Laser Resonance Ionization Mass Spectroscopy",1992Hi07,"ZP A342 1 (92)",indc-nds-0794
78,193,Pt,150,"4.3 d",13/2+,(-)0.753(15),NMR/ON(X),"Nuclear Magnetic Resonance on Oriented Nuclei with X-ray detection",1986Sc04,"PRL 56 1051 (86)",indc-nds-0794
78,194,Pt,1485,"3.45 ns",7-,+1.8(6),IPAD,"Integral Perturbed Angular Distribution",2006Le06,"NP A764 24 (2006)",indc-nds-0816
78,194,Pt,328,"41.8 ps",2+,+0.59(2),TF,"Transient Field integral perturbed angular correlation",1992Br03,"NP A536 366 (92)",indc-nds-0816
78,194,Pt,622,"35 ps",2+,+0.56(11),TF,"Transient Field integral perturbed angular correlation",1992Br03,"NP A536 366 (92)",indc-nds-0816
78,194,Pt,811,"3.7 ps",4+,+1.12(12),TF,"Transient Field integral perturbed angular correlation",1992Br03,"NP A536 366 (92)",indc-nds-0816
78,195,Pt,211,"49 ps",3/2-,+0.21(5),CEAD,"Integral Perturbed Angular Distribution after Coulomb Excitation",1994La02,"NP A568 617 (94)",indc-nds-0816
78,195,Pt,130,"0.61 ns",5/2-,+0.894(19),ME,"Mossbauer Effect",1976St23,"JPCRD 5 835 (76)",indc-nds-0816
78,195,Pt,99,"0.17 ns",3/2-,-0.61(5),ME,"Mossbauer Effect",1976St23,"JPCRD 5 835 (76)",indc-nds-0816
78,195,Pt,239,"70 ps",5/2-,+0.64(9),TF,"Transient Field integral perturbed angular correlation",1994La02,"NP A568 617 (94)",indc-nds-0816
78,195,Pt,389,"9 ps",5/2-,+0.39(10),TF,"Transient Field integral perturbed angular correlation",1994La02,"NP A568 617 (94)",indc-nds-0816
78,195,Pt,455,">10 ps",5/2-,+1.6(6),TF,"Transient Field integral perturbed angular correlation",1994La02,"NP A568 617 (94)",indc-nds-0816
78,195,Pt,508,"9.5 ps",7/2-,+0.55(8),TF,"Transient Field integral perturbed angular correlation",1994La02,"NP A568 617 (94)",indc-nds-0816
78,195,Pt,544,">2.8 ps",5/2-,+1.5(4),TF,"Transient Field integral perturbed angular correlation",1994La02,"NP A568 617 (94)",indc-nds-0816
78,195,Pt,563,"14 ps",9/2-,+1.55(12),TF,"Transient Field integral perturbed angular correlation",1994La02,"NP A568 617 (94)",indc-nds-0816
78,195,Pt,613,"6 ps",7/2-,+1.4(4),TF,"Transient Field integral perturbed angular correlation",1994La02,"NP A568 617 (94)",indc-nds-0816
78,195,Pt,667,"(16 ps)",9/2-,+1.52(16),TF,"Transient Field integral perturbed angular correlation",1994La02,"NP A568 617 (94)",indc-nds-0816
78,195,Pt,679,">2.8 ps",7/2-,+1.2(3),TF,"Transient Field integral perturbed angular correlation",1994La02,"NP A568 617 (94)",indc-nds-0816
78,196,Pt,689,"33.8 ps",2+,+0.54(9),R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",1992Br03,"NP A536 366 (92)",indc-nds-0816
78,196,Pt,356,"34 ps",2+,+0.59(2),TF,"Transient Field integral perturbed angular correlation",1992Br03,"NP A536 366 (92)",indc-nds-0816
78,196,Pt,877,"3.55 ps",4+,+1.38(16),TF,"Transient Field integral perturbed angular correlation",1992Br03,"NP A536 366 (92)",indc-nds-0816
78,197,Pt,0,"19.9 h",1/2-,0.51(2),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1976Fu06,"JPCR 5 835 (76)",indc-nds-0794
78,197,Pt,53,"16.6 ns",5/2-,+0.85(3),TDPAC,"Time Dependent Perturbed Angular Correlation",1982So05,"PR C25 1587 (82)",indc-nds-0816
78,198,Pt,775,"27 ps",2+,+0.61(11),R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",1992Br03,"NP A536 366 (92)",indc-nds-0816
78,198,Pt,985,"3.3 ps",4+,+1.2(2),R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",1992Br03,"NP A536 366 (92)",indc-nds-0816
78,198,Pt,407,"22.3 ps",2+,+0.63(2),TF,"Transient Field integral perturbed angular correlation",1995An15,"NP A593 212 (95)",indc-nds-0816
79,177,Au,0,"1.46 s",1/2+,1.15(5),LRIS,"Laser Resonance Ionization",2018Cu04,"PL B786 355 (2018)",indc-nds-0794
79,179,Au,0,"7.1 s",1/2+,1.01(5),LRIS,"Laser Resonance Ionization",2018Cu04,"PL B786 355 (2018)",indc-nds-0794
79,182,Au,0,"15.5 s",(2+),1.30(10),TR/OLNO,"Time Resolved On-Line Nuclear Orientation",1992Ro21,"HFI 75 457 (92)",indc-nds-0794
79,183,Au,0,"42.8 s",(5/2)-,+1.96(2),LRIMS,"Laser Resonance Ionization Mass Spectroscopy",1988Kr18,"ZP A331 521 (88)",indc-nds-0794
79,184,Au,0,"20.6 s",5+,+2.06(2),LRIS,"Laser Resonance Ionization",1997Le22,"PRL 79 2213 (97)",indc-nds-0794
79,184,Au,68,"47.6 s",2+,+1.43(2),LRIS,"Laser Resonance Ionization",1997Le22,"PRL 79 2213 (97)",indc-nds-0794
79,185,Au,0,"4.25 m",5/2-,+2.16(2),LRIMS,"Laser Resonance Ionization Mass Spectroscopy",1989Wa11/1987Wa06,"NP A493 224 (89)/PRL 58 1516 (87)",indc-nds-0794
79,186,Au,0,"10.7 m",3-,-1.26(3),LRIMS,"Laser Resonance Ionization Mass Spectroscopy",1989Wa11/1987Wa06,"NP A493 224 (89)/PRL 58 1516 (87)",indc-nds-0794
79,187,Au,0,"8.4 m",1/2+,+0.533(15),LRIMS,"Laser Resonance Ionization Mass Spectroscopy",1989Wa11/1987Wa06,"NP A493 224 (89)/PRL 58 1516 (87)",indc-nds-0794
79,187,Au,2669,"100 ns",(31/2-),(+)3.9(5),TDPAD,"Time Dependent Perturbed Angular Distribution",1997Pe26,"ZP A359 (97)",indc-nds-0816
79,188,Au,0,"8.84 m",1(-),-0.07(3),LRIMS,"Laser Resonance Ionization Mass Spectroscopy",1989Wa11/1987Wa06,"NP A493 224 (89)/PRL 58 1516 (87)",indc-nds-0794
79,189,Au,0,"28.7 m",1/2+,+0.492(14),LRIMS,"Laser Resonance Ionization Mass Spectroscopy",1989Wa11/1987Wa06,"NP A493 224 (89)/PRL 58 1516 (87)",indc-nds-0794
79,189,Au,247,"4.6 m",11/2-,+6.17(2),LRIMS,"Laser Resonance Ionization Mass Spectroscopy",1989Wa11/1987Wa06,"NP A493 224 (89)/PRL 58 1516 (87)",indc-nds-0794
79,189,Au,2555,"242 ns",31/2+,6.5(3),TDPAD,"Time Dependent Perturbed Angular Distribution",1997Pe26,"ZP A359 (97)",indc-nds-0816
79,190,Au,0,"42.8 m",1-,-0.065(7),LRIMS,"Laser Resonance Ionization Mass Spectroscopy",1990Sa21,"NP A512 241 (90)",indc-nds-0794
79,191,Au,0,"3.18 h",3/2+,+0.1364(9),LRIMS,"Laser Resonance Ionization Mass Spectroscopy",1994Pa37,"NP A580 173 (94)",indc-nds-0794
79,191,Au,266,"0.92 s",11/2-,6.6(6),NO/S,"Static Nuclear Orientation with gamma detection",1985Va07,"HFI 22 507 (85)",indc-nds-0794
79,191,Au,2489,"400 ns",(31/2+),6.5(6),TDPAD,"Time Dependent Perturbed Angular Distribution",1997Pe26,"ZP A359 (97)",indc-nds-0816
79,192,Au,0,"4.94 h",1-,-0.0107(15),LRIMS,"Laser Resonance Ionization Mass Spectroscopy",1994Pa37,"NP A580 173 (94)",indc-nds-0794
79,193,Au,2477,"3.5 ns",(31/2-),5(3),IPAD,"Integral Perturbed Angular Distribution",1985Ko13,"NP A439 189 (85)",indc-nds-0816
79,193,Au,2701,"1.8 ns",(35/2-),2(2),IPAD,"Integral Perturbed Angular Distribution",1985Ko13,"NP A439 189 (85)",indc-nds-0816
79,193,Au,0,"17.65 h",3/2+,+0.1391(5),LRIMS,"Laser Resonance Ionization Mass Spectroscopy",1994Pa37,"NP A580 173 (94)",indc-nds-0794
79,193,Au,290,"3.9 s",11/2-,6.16(9),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1983Ha10,"NP A399 83 (83)",indc-nds-0794
79,194,Au,0,"38.0 h",1-,+0.0760(13),LRIMS,"Laser Resonance Ionization Mass Spectroscopy",1994Pa37,"NP A580 173 (94)",indc-nds-0794
79,195,Au,0,"186 d",3/2+,0.1481(6),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1993Hi10,"NP A562 205 (93)",indc-nds-0794
79,195,Au,319,"30.5 s",11/2-,6.16(9),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1981Ha27,"PR C24 631 (81)",indc-nds-0794
79,196,Au,0,"6.17 d",2-,0.5883(5),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1987Oh11,"PR C36 2072 (87)",indc-nds-0794
79,196,Au,596,"9.6 h",12-,5.70(8),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1982Ha04,"NP A373 256 (82)",indc-nds-0794
79,197,Au,0,stable,3/2+,+0.1452(2),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1967Da04,"ZP A200 456 (67)",indc-nds-0794
79,197,Au,77,"1.91 ns",1/2+,+0.416(3),ME,"Mossbauer Effect",1976St23,"JPCRD 5 835 (76)",indc-nds-0816
79,197,Au,409,"7.73 s",11/2-,(+)5.96(9),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1984Ha12,"NP A417 88 (84)",indc-nds-0794
79,197,Au,1231,"0.91 ps",11/2+,+2.0(10),TF,"Transient Field integral perturbed angular correlation",1988St16,"NP A486 374 (88)",indc-nds-0816
79,197,Au,279,"18.6 ps",5/2+,+0.74(6),TF,"Transient Field integral perturbed angular correlation",1988St09,"ZP A330 131 (88)",indc-nds-0816
79,197,Au,503,"1.77 ps",5/2+,+3.0(5),TF,"Transient Field integral perturbed angular correlation",1988St09,"ZP A330 131 (88)",indc-nds-0816
79,197,Au,548,"4.6 ps",7/2+,+0.84(7),TF,"Transient Field integral perturbed angular correlation",1988St09,"ZP A330 131 (88)",indc-nds-0816
79,197,Au,737,"1.1 ps",7/2+,+1.7(5),TF,"Transient Field integral perturbed angular correlation",1988St16,"NP A486 374 (88)",indc-nds-0816
79,197,Au,855,"2.7 ps",9/2+,+1.5(5),TF,"Transient Field integral perturbed angular correlation",1988St16,"NP A486 374 (88)",indc-nds-0816
79,198,Au,0,"2.694 d",2-,+0.5911(8),"AB ","Atomic Beam Magnetic Resonance - Thermal Beam",1967Va16,"PR 158 1078 (67)",indc-nds-0794
79,198,Au,812,"2.27 d",(12-),(+)5.83(9),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1984Ha12,"NP A417 88 (84)",indc-nds-0794
79,199,Au,0,"3.14 d",3/2+,+0.2705(8),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1967Va16,"PR 158 1078 (67)",indc-nds-0794
79,200,Au,962,"18.7 h",12-,5.88(9),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1984Ha45,"PR C30 1675 (84)",indc-nds-0794
80,177,Hg,0,"118 ms",(7/2-),-1.02(5),LRIS,"Laser Resonance Ionization",2019Se04,"PR C99 044306 (2019)",indc-nds-0794
80,179,Hg,0,"1.05 s",(7/2-),-0.94(2),LRIS,"Laser Resonance Ionization",2019Se04,"PR C99 044306 (2019)",indc-nds-0794
80,185,Hg,99,"21.6 s",13/2+,-1.013(9),CLS,"Resonance Cell Laser Spectroscopy",1986Ul02,"ZP A325 247 (86)",indc-nds-0794
80,187,Hg,"0 + x","2.4 m",13/2+,-1.040(11),CLS,"Resonance Cell Laser Spectroscopy",1979Da06,"PL 82B 199 (79)",indc-nds-0794
80,188,Hg,2724,"134 ns",12+,-2.02(12),TDPAD,"Time Dependent Perturbed Angular Distribution",1983Se20,"ZP A313 289 (83)",indc-nds-0816
80,189,Hg,"0 + x","8.6 m",13/2+,-1.054(6),CLS,"Resonance Cell Laser Spectroscopy",1979Da06,"PL 82B 199 (79)",indc-nds-0794
80,191,Hg,"0 + x","50.8 m",13/2+,-1.064(5),CLS,"Resonance Cell Laser Spectroscopy",1979Da06,"PL 82B 199 (79)",indc-nds-0794
80,193,Hg,0,"3.80 h",3/2-,-0.6251(8),NMR/OP,"NMR detected using Optically Pumped Ions",1971Mo24,"PR C4 620 (71)",indc-nds-0794
80,193,Hg,141,"11.8 h",13/2+,-1.0543(12),NMR/OP,"NMR detected using Optically Pumped Ions",1973Re04,"PR C7 2065 (73)",indc-nds-0794
80,195,Hg,0,"10.5 h",1/2-,+0.5393(6),NMR/OP,"NMR detected using Optically Pumped Ions",1973Re04,"PR C7 2065 (73)",indc-nds-0794
80,195,Hg,176,"41.6 h",13/2+,-1.0405(12),NMR/OP,"NMR detected using Optically Pumped Ions",1973Re04,"PR C7 2065 (73)",indc-nds-0794
80,196,Hg,1841,"5.2 ns",7-,-0.21(12),IPAD,"Integral Perturbed Angular Distribution",2006Le06,"NP A764 24 (2006)",indc-nds-0816
80,197,Hg,0,"64.1 h",1/2-,+0.5253(6),NMR/OP,"NMR detected using Optically Pumped Ions",1973Re04,"PR C7 2065 (73)",indc-nds-0794
80,197,Hg,299,"23.8 h",13/2+,-1.0236(12),NMR/OP,"NMR detected using Optically Pumped Ions",1973Re04,"PR C7 2065 (73)",indc-nds-0794
80,197,Hg,134,"8.1 ns",5/2-,+0.855(15),TDPAC,"Time Dependent Perturbed Angular Correlation",1977Kr11,"ZP A283 337 (77)",indc-nds-0816
80,198,Hg,1684,"6.9 ps",7-,-0.23(10),IPAD,"Integral Perturbed Angular Distribution",2006Le06,"NP A764 24 (2006)",indc-nds-0816
80,198,Hg,1048,"7.2 ps",4+,+1.6(2),TF,"Transient Field integral perturbed angular correlation",1995Br34,"ZP A353 141 (95)",indc-nds-0816
80,198,Hg,412,"23 ps",2+,+0.76(6),TF,"Transient Field integral perturbed angular correlation",1995Br34,"ZP A353 141 (95)",indc-nds-0816
80,199,Hg,0,stable,1/2-,+0.5039(6),NMR/OP,"NMR detected using Optically Pumped Ions",1961Ca21,"AnP 6 467 (61)",indc-nds-0794
80,199,Hg,158,"2.45 ns",5/2-,+0.88(3),TDPAC,"Time Dependent Perturbed Angular Correlation",1977Kr11,"ZP A283 337 (77)",indc-nds-0816
80,199,Hg,208,"69 ps",3/2-,-0.56(9),TF,"Transient Field integral perturbed angular correlation",1990Ba40,"HFI 59 129 (90)",indc-nds-0816
80,199,Hg,414,"115 ps",5/2-,+0.80(9),TF,"Transient Field integral perturbed angular correlation",1990Ba40,"HFI 59 129 (90)",indc-nds-0816
80,200,Hg,368,"46.4 ps",2+,+0.65(5),TF,"Transient Field integral perturbed angular correlation",1995Br34,"ZP A353 141 (95)",indc-nds-0816
80,200,Hg,947,"3.2 ps",4+,1.02(17),TF,"Transient Field integral perturbed angular correlation",1995Br34,"ZP A353 141 (95)",indc-nds-0816
80,201,Hg,0,stable,3/2-,-0.5580(7),NMR/OP,"NMR detected using Optically Pumped Ions",1973Re04,"PR C7 2065 (73)",indc-nds-0794
80,202,Hg,1120,"2.05 ps",4+,1.4(3),TF,"Transient Field integral perturbed angular correlation",1995Br34,"ZP A353 141 (95)",indc-nds-0816
80,202,Hg,440,"27.3 ps",2+,+0.78(6),TF,"Transient Field integral perturbed angular correlation",1995Br34,"ZP A353 141 (95)",indc-nds-0816
80,204,Hg,437,"40.3 ps",2+,+0.64(6),TF,"Transient Field integral perturbed angular correlation",1986Ko02,"NP A448 123 (86)",indc-nds-0816
80,206,Hg,2102,"2.15 ms",5-,+5.45(5),TDPAD,"Time Dependent Perturbed Angular Distribution",1982Be38,"PR C26 914 (82)",indc-nds-0816
81,187,Tl,0,"~51 s",(1/2+),1.54(6),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1992Sc25,"HFI 74 13 (92)",indc-nds-0794
81,188,Tl,"0 + x","71 s",7+,+0.481(8),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1992Me07,"ZP A341  475 (92)",indc-nds-0794
81,190,Tl,"0 + x","2.6 m",2(-),+0.253(2),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1992Me07,"ZP A341  475 (92)",indc-nds-0794
81,190,Tl,"0 + y","3.7 m",7(+),+0.493(4),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1987Bo44,"PR C36 2560 (87)",indc-nds-0794
81,191,Tl,0,-,1/2+,+1.582(4),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1992Me07,"ZP A341  475 (92)",indc-nds-0794
81,192,Tl,0,"9.6 m",2-,+0.199(3),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1992Me07,"ZP A341  475 (92)",indc-nds-0794
81,192,Tl,"0 + x","10.8 m",7+,+0.516(4),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1987Bo44,"PR C36 2560 (87)",indc-nds-0794
81,192,Tl,388,"296 ns",(8-),+1.66(4),TDPAD,"Time Dependent Perturbed Angular Distribution",1982Da17,"NP A383 421 (82)",indc-nds-0816
81,193,Tl,0,"21.6 m",1/2(+),+1.585(3),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1987Bo44,"PR C36 2560 (87)",indc-nds-0794
81,194,Tl,0,"33.0 m",2-,+0.139(3),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1992Me07,"ZP A341 475 (92)",indc-nds-0794
81,194,Tl,"0 + x","32.8 m",(7+),+0.538(5),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1987Bo44,"PR C36 2560 (87)",indc-nds-0794
81,195,Tl,0,"1.16 h",1/2+,+1.57(4),O,"Optical Spectroscopy",1969Go21,"PR 188 1897 (69)",indc-nds-0794
81,196,Tl,0,"1.84 h",2-,+0.072(3),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1992Me07,"ZP A341 475 (92)",indc-nds-0794
81,196,Tl,394,"1.41 h",(7+),+0.547(8),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1992Me07,"ZP A341 475 (92)",indc-nds-0794
81,197,Tl,0,"2.84 h",1/2+,+1.57(2),O,"Optical Spectroscopy",1966Da15,"JOSA 56 1604 (66)",indc-nds-0794
81,198,Tl,0,"5.3 h",2-,0.00(1),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1976Ek03/1984Be40,"HFI 1 437 (76)/PS 30 164 (84)",indc-nds-0794
81,198,Tl,544,"1.87 h",7+,+0.639(10),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1983Bu04,"NP A395 182 (83)",indc-nds-0794
81,199,Tl,0,"7.42 h",1/2+,+1.59(2),O,"Optical Spectroscopy",1961Hu04,"JOSA 51 1203 (61)",indc-nds-0794
81,200,Tl,0,"26.1 h",2-,0.04(1),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1976Ek03/1984Be40,"HFI 1 437 (76)/PS 30 164 (84)",indc-nds-0794
81,201,Tl,0,"3.04 d",1/2+,+1.599(3),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1987Bo44,"PR C36 2560 (87)",indc-nds-0794
81,202,Tl,0,"12.3 d",2-,0.06(1),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1976Ek03/1984Be40,"HFI 1 437 (76)/PS 30 164 (84)",indc-nds-0794
81,202,Tl,950,"591 ms",7+,+0.90(4),TDPAD,"Time Dependent Perturbed Angular Distribution",1974Ha06,"NP A218 180 (74)",indc-nds-0816
81,203,Tl,279,"280 ps",3/2+,+0.10(14),IPAC,"Integral Perturbed Angular Correlation",1965Ka02,"NP 61 582 (65)",indc-nds-0816
81,203,Tl,681,"0.88 ps",5/2+,+2.6(11),TF,"Transient Field integral perturbed angular correlation",1979Ha06,"NP A314 161 (79)",indc-nds-0816
81,204,Tl,0,"3.78 y",2-,0.09(1),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1976Ek03,"HFI 1 437 (76)",indc-nds-0794
81,204,Tl,1104,"62 ms",(7)+,+1.187(6),TDPAD,"Time Dependent Perturbed Angular Distribution",1972Ma59,"NP A195 577 (72)",indc-nds-0816
81,205,Tl,2623,-,(5/2)-,0.71(15),Mu-X,"Muonic X-ray Hyperfine Structure",1972Ch07,"NP A181 25 (72)",indc-nds-0816
81,205,Tl,3291,"2.6 ms",25/2+,+6.80(10),TDPAD,"Time Dependent Perturbed Angular Distribution",1982Ma05,"PRL 48 466 (82)",indc-nds-0816
81,205,Tl,204,"1.46 ns",3/2+,-0.08(5),TF,"Transient Field integral perturbed angular correlation",1984HaYY,"Cf83 Meguro",indc-nds-0816
81,205,Tl,619,"0.90 ps",5/2+,+2.0(3),TF,"Transient Field integral perturbed angular correlation",1984HaYY,"Cf83 Meguro",indc-nds-0816
81,206,Tl,1405,"78 ns",(5)+,+4.27(6),TDPAD,"Time Dependent Perturbed Angular Distribution",1976Ha44,"PL 64B 273 (76)",indc-nds-0816
81,207,Tl,0,"4.77 m",1/2+,+1.869(5),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1985Ne06,"PRL 55 1559 (85)",indc-nds-0794
81,208,Tl,0,"3.05 m",5+,+0.291(13),LRSRD,"Laser Resonance Specroscopy with Radioactive Detection",1992La03,"PRL 68 1675 (92)",indc-nds-0794
82,183,Pb,0,"0.53 s",3/2-,-1.154(5),LRIS,"Laser Resonance Ionization",2009Se13,"Eur Phys J A41 315 (09)",indc-nds-0794
82,183,Pb,97,"0.41 s",13/2+,-1.241(6),LRIS,"Laser Resonance Ionization",2009Se13,"Eur Phys J A41 315 (09)",indc-nds-0794
82,185,Pb,0,"6.3 s",3/2-,-1.137(5),LRIS,"Laser Resonance Ionization",2009Se13,"Eur Phys J A41 315 (09)",indc-nds-0794
82,185,Pb,"0 + x","4.3 s",13/2+,-1.23(1),LRIS,"Laser Resonance Ionization",2009Se13,"Eur Phys J A41 315 (09)",indc-nds-0794
82,187,Pb,0,"15.2 s",3/2-,-1.122(3),LRIS,"Laser Resonance Ionization",2009Se13,"Eur Phys J A41 315 (09)",indc-nds-0794
82,187,Pb,33,"18.3 s",13/2+,-1.206(5),LRIS,"Laser Resonance Ionization",2009Se13,"Eur Phys J A41 315 (09)",indc-nds-0794
82,188,Pb,2578,"0.83 ms",8-,-0.30(6),TDPAD,"Time Dependent Perturbed Angular Distribution",2010Io01,"PR C81 024323 (10)",indc-nds-0816
82,188,Pb,2704,"26 ns",11-,+11.3(3),TDPAD,"Time Dependent Perturbed Angular Distribution",2010Io01,"PR C81 024323 (10)",indc-nds-0816
82,188,Pb,2713,"94 ns",12+,-2.15(7),TDPAD,"Time Dependent Perturbed Angular Distribution",2010Io01,"PR C81 024323 (10)",indc-nds-0816
82,189,Pb,0,"39 s",3/2-,-1.077(9),LRIS,"Laser Resonance Ionization",2009Se13,"Eur J Phys A41 315 (09)",indc-nds-0794
82,189,Pb,"0 + x","50 s",13/2+,-1.19(1),LRIS,"Laser Resonance Ionization",2009Se13,"Eur J Phys A41 315 (09)",indc-nds-0794
82,191,Pb,-,"2.18 m",13/2+,-1.167(7),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1991Du07,"ZP A341 39 (91)",indc-nds-0794
82,192,Pb,2624,"1.09 ms",(12+),-2.08(2),TDPAD,"Time Dependent Perturbed Angular Distribution",1983St15,"NP A411 248 (83)",indc-nds-0816
82,193,Pb,"0 + x","5.8 m",(13/2+),-1.146(7),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1991Du07,"ZP A341 39 (91)",indc-nds-0794
82,193,Pb,"1586 + x","20.5 ns",(21/2-),-0.62(12),TDPAD,"Time Dependent Perturbed Angular Distribution",2004Io01,"PR C70 034305 (2004)",indc-nds-0816
82,193,Pb,"2585 + x","9.4 ns",(29/2-),+9.9(4),TDPAD,"Time Dependent Perturbed Angular Distribution",1997Ch33,"PRL 79 2002 (97)",indc-nds-0816
82,193,Pb,"2613 + x","180 ns",(33/2+),-2.82(15),TDPAD,"Time Dependent Perturbed Angular Distribution",2004Io01,"PR C70 034305 (2004)",indc-nds-0816
82,194,Pb,2407,"17 ns",(9)-,-0.38(14),TDPAD,"Time Dependent Perturbed Angular Distribution",2004Vy01,"PR C69 064318 (04)",indc-nds-0816
82,194,Pb,2628,"370 ns",(12+),-2.00(2),TDPAD,"Time Dependent Perturbed Angular Distribution",1985St16,"ZP A322 83 (85)",indc-nds-0816
82,194,Pb,2933,"133 ns",(11)-,+11.3(2),TDPAD,"Time Dependent Perturbed Angular Distribution",2004VY01,"PR C69 064318 (04)",indc-nds-0816
82,195,Pb,203,"15.0 m",13/2+,-1.124(7),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1991Du07,"ZP A341 39 (91)",indc-nds-0794
82,195,Pb,2902,"95 ns",33/2+,-2.57(10),TDPAD,"Time Dependent Perturbed Angular Distribution",1985St16,"ZP A322 83 (85)",indc-nds-0816
82,196,Pb,1798,"140 ns",5-,+0.490(15),TDPAD,"Time Dependent Perturbed Angular Distribution",1985St16,"ZP A322 83 (85)",indc-nds-0816
82,196,Pb,2308,"52 ns",9-,-0.33(9),TDPAD,"Time Dependent Perturbed Angular Distribution",2004Vy01,"PR C69 064318 (04)",indc-nds-0816
82,196,Pb,2695,"270 ns",12+,-1.92(2),TDPAD,"Time Dependent Perturbed Angular Distribution",1983St15,"NP A411 248 (83)",indc-nds-0816
