z,n.n+n.z,symbol,"energy [keV]",halflife,spin,"electric quadrupole [b]",method,description,nsr,journal,indc
49,118,In,~60,"4.45 m",5+,+0.759(8),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1987Eb02,"NP A464 9 (1987)",indc-nds-0833
49,119,In,0,"2.4 m",9/2+,+0.814(7),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1987Eb02,"NP A464 9 (1987)",indc-nds-0833
49,120,In,"0 + x","47.3 s",8-,+0.505(10),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1987Eb02,"NP A464 9 (1987)",indc-nds-0833
49,121,In,0,"23.1 s",9/2+,+0.776(10),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1987Eb02,"NP A464 9 (1987)",indc-nds-0833
49,122,In,(40),"10.3 s",5+,+0.77(2),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1987Eb02,"NP A464 9 (1987)",indc-nds-0833
49,123,In,0,"6.17 s",9/2+,+0.722(9),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1987Eb02,"NP A464 9 (1987)",indc-nds-0833
49,124,In,0,"3.12 s",3+,+0.58(7),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1987Eb02,"NP A464 9 (1987)",indc-nds-0833
49,125,In,0,"2.50 s",9/2+,+0.68(3),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1987Eb02,"NP A464 9 (1987)",indc-nds-0833
49,126,In,0,"1.53 s",3+,+0.47(5),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1987Eb02,"NP A464 9 (1987)",indc-nds-0833
49,127,In,0,"1.09 s",9/2+,+0.56(3),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1987Eb02,"NP A464 9 (1987)",indc-nds-0833
50,109,Sn,0,"18.0 m",5/2+,+0.33(11),ABLFS,"Atomic Beam with Laser Fluorescence Spectroscopy",1987Eb01,"ZP A326 121 (1987)",indc-nds-0833
50,110,Sn,2478,"5.6 ns",6+,0.30(4),TDPAD,"Time Dependent Perturbed Angular Distribution",1989Vo17,"IAN Ser Fiz 53 2188 (1989)",indc-nds-0833
50,111,Sn,0,"35.3 m",7/2+,+0.20(10),ABLFS,"Atomic Beam with Laser Fluorescence Spectroscopy",1987Eb01,"ZP A326 121 (1987)",indc-nds-0833
50,112,Sn,1257,"0.38 ps",2+,+0.04(9),CER,"Coulomb excitation reorientation",2015Al24,"PR C92 041303(R) (2015)",indc-nds-0833
50,113,Sn,738,"86 ns",11/2-,(-)0.41(4),TDPAD,"Time Dependent Perturbed Angular Distribution",1975Di02,"PL B55 293 (1975)",indc-nds-0833
50,114,Sn,1300,"0.42 ps",2+,+0.09(8),CER,"Coulomb excitation reorientation",2015Al24,"PR C92 041303(R) (2015)",indc-nds-0833
50,115,Sn,613,"3.26 ps",7/2+,(-)0.26(3),TDPAD,"Time Dependent Perturbed Angular Distribution",1976Be59,"HFI 2 326 (1976)",indc-nds-0833
50,116,Sn,1294,"0.37 ps",2+,+0.17(8),CER,"Coulomb excitation reorientation",2015Al24,"PR C92 041303(R) (2015)",indc-nds-0833
50,117,Sn,315,"14.0 d",11/2-,-0.42(5),ABLFS,"Atomic Beam with Laser Fluorescence Spectroscopy",1986An24,"PR C34 1052 (1986)",indc-nds-0833
50,118,Sn,1230,"0.485 ps",2+,+0.07(9),CER,"Coulomb excitation reorientation",2015Al24,"PR C92 041303(R) (2015)",indc-nds-0833
50,119,Sn,24,"18.0 ns",3/2+,-0.132(1),ME,"Mossbauer Effect",2018Py01," Mol Phys 116 1328 (2018)",indc-nds-0833
50,120,Sn,1171,"0.64 ps",2+,+0.02(7),CER,"Coulomb excitation reorientation",1975Gr30,"PR C12 1462 (1975)",indc-nds-0833
50,121,Sn,0,"27.1 h",3/2+,-0.02(2),ABLFS,"Atomic Beam with Laser Fluorescence Spectroscopy",1986An24,"PR C34 1052 (1986)",indc-nds-0833
50,122,Sn,1140,"0.78 ps",2+,-0.08(9),CER,"Coulomb excitation reorientation",2015Al24,"PR C92 041303(R) (2015)",indc-nds-0833
50,123,Sn,0,"129 d",11/2-,+0.03(4),ABLFS,"Atomic Beam with Laser Fluorescence Spectroscopy",1986An24,"PR C34 1052 (1986)",indc-nds-0833
50,124,Sn,1132,"0.92 ps",2+,-0.08(9),CER,"Coulomb excitation reorientation",2015Al24,"PR C92 041303(R) (2015)",indc-nds-0833
50,125,Sn,0,"9.64 d",11/2-,+0.2(2),ABLFS,"Atomic Beam with Laser Fluorescence Spectroscopy",2005Le34,"PR C72 034305",indc-nds-0833
50,126,Sn,1141,"1.15 ps",2+,0.0(2),CER,"Coulomb excitation reorientation",2011Al35,"PR C84 1303 (2011)",indc-nds-0833
50,127,Sn,0,"2.1 h",11/2-,+0.32(14),ABLFS,"Atomic Beam with Laser Fluorescence Spectroscopy",2005Le34,"PR C72 034305",indc-nds-0833
50,128,Sn,2492,"2.9 ms",10+,-0.1(3),CER,"Coulomb excitation reorientation",2011Al35,"PR C84 1303 (2011)",indc-nds-0833
50,129,Sn,0,"2.23 m",3/2+,+0.05(12),ABLFS,"Atomic Beam with Laser Fluorescence Spectroscopy",2004Le13,"NP A734 437 (2004)",indc-nds-0833
50,130,Sn,1947,"1.7 m",7-,-0.39(12),ABLFS,"Atomic Beam with Laser Fluorescence Spectroscopy",2005Le34,"PR C72 034305",indc-nds-0833
50,131,Sn,0,"56 s",3/2+,-0.04(9),ABLFS,"Atomic Beam with Laser Fluorescence Spectroscopy",2004Le13,"NP A734 437 (2004)",indc-nds-0833
51,112,Sb,796,"536 ns",8-,1.06(2),TDPAD,"Time Dependent Perturbed Angular Distribution",1982Ma29,"PR C26 493 (1982)",indc-nds-0833
51,115,Sb,2796,"159 ns",19/2-,0.79(4),TDPAD,"Time Dependent Perturbed Angular Distribution",1983Se04,"ZP A309 349 (1983)",indc-nds-0833
51,116,Sb,1159,"10.6 ns",7+,2.5(6),TDPAD,"Time Dependent Perturbed Angular Distribution",1992Io01,"ZP A343 21 (1992)",indc-nds-0833
51,117,Sb,0,"2.80 h",5/2+,0.2(12),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1974Ek01,"NP A226 219 (1974)",indc-nds-0833
51,118,Sb,51,"20.6 ms",(3)+,0.9(2),TDPAD,"Time Dependent Perturbed Angular Distribution",1982Ma29,"PR C26 493 (1982)",indc-nds-0833
51,119,Sb,2554,"130 ns",19/2-,3.18(13),TDPAD,"Time Dependent Perturbed Angular Distribution",1991Io02,"NP A531 112 (1991)",indc-nds-0833
51,120,Sb,78,"246 ns",3+,0.63(2),TDPAD,"Time Dependent Perturbed Angular Distribution",1982Ma29,"PR C26 493 (1982)",indc-nds-0833
51,121,Sb,0,stable,5/2+,-0.543(11),O,"Optical Spectroscopy",2006Ha63,"J Chem Phys 125 064301 (2006)",indc-nds-0833
51,122,Sb,0,"2.72 d",2-,+1.28(8),O,"Optical Spectroscopy",1960Fe08,"PhMg 5 1309 (1960)",indc-nds-0833
51,123,Sb,0,stable,7/2+,-0.692(14),O,"Optical Spectroscopy",2006Ha63,"J Chem Phys 125 064301 (2006)",indc-nds-0833
51,124,Sb,0,"60.2 d",3-,+2.8(2),NO/S,"Static Nuclear Orientation with gamma detection",1985He16,"ZP A322 281 (1985)",indc-nds-0833
52,120,Te,560,"9.3 ps",2+,-0.41(3),CER,"Coulomb excitation reorientation",2018Sa37,"Acta Phys Pol B49 541 (2018)",indc-nds-0833
52,122,Te,564,"7.46 ps",2+,-0.57(5),CER,"Coulomb excitation reorientation",1976Bo12,"NP A261 498 A261",indc-nds-0833
52,124,Te,603,"6.2 ps",2+,-0.45(5),CER,"Coulomb excitation reorientation",1976Bo12,"NP A261 498 A261",indc-nds-0833
52,125,Te,36,"1.48 ns",3/2+,-0.31(2),ME,"Mossbauer Effect",1977La03,"PR B15 2504",indc-nds-0833
52,126,Te,666,"4.52 ps",2+,-0.23(5),CER,"Coulomb excitation reorientation",1976Bo12,"NP A261 498 A261",indc-nds-0833
52,127,Te,88,"106 d",11/2-,0.17(12),CLS,"Resonance Cell Laser Spectroscopy",2006Si40,"HFI 171 173 (2006)",indc-nds-0833
52,128,Te,743,"3.3 ps",2+,-0.22(5),CER,"Coulomb excitation reorientation",1976Bo12,"NP A261 498 A261",indc-nds-0833
52,129,Te,0,"69.6 m",3/2+,0.055(13),NO/ME,"Mossbauer Effect on Oriented Nuclei",1987Be36,"HFI 35 1023 (1987)",indc-nds-0833
52,130,Te,840,"2.3 ps",2+,-0.12(5),CER,"Coulomb excitation reorientation",1976Bo12,"NP A261 498 A261",indc-nds-0833
52,131,Te,182,"33.3 h",11/2-,0.25(14),CLS,"Resonance Cell Laser Spectroscopy",2006Si40,"HFI 171 173 (2006)",indc-nds-0833
52,133,Te,0,"12.5 m",3/2+,0.23(9),CLS,"Resonance Cell Laser Spectroscopy",2006Si40,"HFI 171 173 (2006)",indc-nds-0833
52,135,Te,0,"19.0 s",7/2-,0.29(9),CLS,"Resonance Cell Laser Spectroscopy",2006Si40,"HFI 171 173 (2006)",indc-nds-0833
53,125,I,0,"59.4 d",5/2+,-0.752(17),MA,"Microwave Absorption in gases",1958Fl39,"PR 110 536 (1958)",indc-nds-0833
53,127,I,0,stable,5/2+,-0.688(10),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1976Fu06,"JPCR 5 835 (1976)",indc-nds-0833
53,131,I,0,"8.03 d",7/2+,-0.34(2),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1960Li13,"PR 119 2022 (1960)",indc-nds-0833
53,132,I,0,"2.30 h",4+,0.08(1),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1960Wh06,"BAPS 5 504 (1960)",indc-nds-0833
53,133,I,0,"20.8 h",7/2+,-0.23(1),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1961Al20,"UCRL 9850 (1960)",indc-nds-0833
54,117,Xe,0,"1.02 m",5/2+,+1.14((4),CLS,"Resonance Cell Laser Spectroscopy",1990NeZY,"PC Neugart (1990)",indc-nds-0833
54,119,Xe,0,"5.8 m",5/2+,+1.29(5),CLS,"Resonance Cell Laser Spectroscopy",1990NeZY,"PC Neugart (1990)",indc-nds-0833
54,121,Xe,0,"40.1 m",5/2+,+1.31(5),CLS,"Resonance Cell Laser Spectroscopy",1990NeZY,"PC Neugart (1990)",indc-nds-0833
54,123,Xe,185,"5.5 ms",7/2(-),1.4(3),TDPAD,"Time Dependent Perturbed Angular Distribution",1982Ze05,"ZP A308 227 (1982)",indc-nds-0833
54,125,Xe,253,"57 s",9/2-,+0.417(15),CLS,"Resonance Cell Laser Spectroscopy",1990NeZY,"PC Neugart (1990)",indc-nds-0833
54,127,Xe,297,"1.15 m",9/2-,+0.68(2),CLS,"Resonance Cell Laser Spectroscopy",1990NeZY,"PC Neugart (1990)",indc-nds-0833
54,129,Xe,40,"0.97 ns",3/2+,-0.393(10),ME,"Mossbauer Effect",1964Pe06,"PR 135B 1102 (1964)",indc-nds-0833
54,130,Xe,536,"8.6 ps",2+,-0.38(16),CER,"Coulomb excitation reorientation",2020Mo35,"PR C102 054304 (2020)",indc-nds-0833
54,131,Xe,0,stable,3/2+,-0.114(1),CLS,"Resonance Cell Laser Spectroscopy",1989Bo03,"PL B216 7 (1989)",indc-nds-0833
54,132,Xe,2214,"87 ns",7-,0.010(5),TDPAD,"Time Dependent Perturbed Angular Distribution",1987Le31,"UkrF 32 1636 (1987)",indc-nds-0833
54,133,Xe,0,"5.25 d",3/2+,+0.140(5),CLS,"Resonance Cell Laser Spectroscopy",1990NeZY,"PC Neugart (1990)",indc-nds-0833
54,135,Xe,0,"9.14 h",3/2+,+0.210(7),CLS,"Resonance Cell Laser Spectroscopy",1990NeZY,"PC Neugart (1990)",indc-nds-0833
54,137,Xe,0,"3.82 m",7/2-,-0.47(2),CLS,"Resonance Cell Laser Spectroscopy",1989Bo03,"PL B216 7 (1989)",indc-nds-0833
54,139,Xe,0,"39.7 s",3/2-,+0.39(2),CLS,"Resonance Cell Laser Spectroscopy",1989Bo03,"PL B216 7 (1989)",indc-nds-0833
54,141,Xe,0,"1.73 s",5/2+,-0.57(2),CLS,"Resonance Cell Laser Spectroscopy",1989Bo03,"PL B216 7 (1989)",indc-nds-0833
54,143,Xe,0,"0.51 s",5/2-,+0.91(3),CLS,"Resonance Cell Laser Spectroscopy",1989Bo03,"PL B216 7 (1989)",indc-nds-0833
55,118,Cs,0,"14 s",2,+1.31(17),ABLS,"Atomic Beam Laser Spectroscopy",1987Co19,"NP A468 1 (1987)",indc-nds-0833
55,119,Cs,0,"43 s",9/2+,+2.65(17),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (1981)",indc-nds-0833
55,120,Cs,0,"61.3 s",2+,+1.36(7),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (1981)",indc-nds-0833
55,121,Cs,0,"155 s",3/2+,+0.79(4),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (1981)",indc-nds-0833
55,122,Cs,0,"21 s",1+,-0.179(10),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (1981)",indc-nds-0833
55,124,Cs,0,"31 s",1+,-0.69(4),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (1981)",indc-nds-0833
55,126,Cs,0,"1.64 m",1+,-0.64(3),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (1981)",indc-nds-0833
55,127,Cs,66,"24.9 ns",5/2(+),0.58(12),TDPAC,"Time Dependent Perturbed Angular Correlation",1999Co22,"NIM B152 357 (1999)",indc-nds-0833
55,128,Cs,0,"3.6 m",1+,-0.54(3),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (1981)",indc-nds-0833
55,130,Cs,0,"29.2 m",1+,-0.056(6),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (1981)",indc-nds-0833
55,131,Cs,0,"9.69 d",5/2+,+0.59(2),ABLS,"Atomic Beam Laser Spectroscopy",1975Ac01,"NP A248 157 (1975)",indc-nds-0833
55,132,Cs,0,"6.48 d",2(-),+0.48(2),ABLS,"Atomic Beam Laser Spectroscopy",1975Ac01,"NP A248 157 (1975)",indc-nds-0833
55,133,Cs,0,stable,7/2+,-0.00343(10),MB,"Molecular Beam Magnetic Resonance",1998Pe18,"JCP 108 6739 (1998)",indc-nds-0833
55,134,Cs,0,"2.06 y",4+,+0.37(2),ABLS,"Atomic Beam Laser Spectroscopy",1975Ac01,"NP A248 157 (1975)",indc-nds-0833
55,135,Cs,0,"2.3 106 y",7/2+,+0.048(3),ABLS,"Atomic Beam Laser Spectroscopy",1975Ac01,"NP A248 157 (1975)",indc-nds-0833
55,136,Cs,0,"13.2 d",5+,+0.213(15),ABLS,"Atomic Beam Laser Spectroscopy",1975Ac01,"NP A248 157 (1975)",indc-nds-0833
55,137,Cs,0,"30.1 y",7/2+,+0.048(2),ABLS,"Atomic Beam Laser Spectroscopy",1975Ac01,"NP A248 157 (1975)",indc-nds-0833
55,138,Cs,0,"33.4 m",3-,+0.112(17),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (1981)",indc-nds-0833
55,139,Cs,0,"9.3 m",7/2+,-0.063(14),ABLS,"Atomic Beam Laser Spectroscopy",1979Bo01,"ZP A289 227 (1979)",indc-nds-0833
55,140,Cs,0,"63.7 s",1-,-0.094(15),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (1981)",indc-nds-0833
55,141,Cs,0,"24.8 s",7/2+,-0.42(7),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (1981)",indc-nds-0833
55,143,Cs,0,"1.79 s",3/2+,+0.44(3),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (1981)",indc-nds-0833
55,144,Cs,0,"0.99 s",1(-),+0.29(2),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (1981)",indc-nds-0833
55,145,Cs,0,"0.59 s",3/2+,+0.58(6),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (1981)",indc-nds-0833
55,146,Cs,0,"0.32 s",1-,+0.21(3),ABLS,"Atomic Beam Laser Spectroscopy",1987Co19,"NP A468 1 (1987)",indc-nds-0833
56,121,Ba,0,"30 s",5/2(+),+1.89(13),CLS,"Resonance Cell Laser Spectroscopy",1988We14,"PL B211 272 (1988)",indc-nds-0833
56,123,Ba,0,"2.7 m",5/2+,+1.57(13),CLS,"Resonance Cell Laser Spectroscopy",1988We14,"PL B211 272 (1988)",indc-nds-0833
56,127,Ba,80,"1.9 s",7/2(-),+1.71(14),CLS,"Resonance Cell Laser Spectroscopy",1992Da06,"J Phys G 17 L67 (1992)",indc-nds-0833
56,129,Ba,8.4,"2.14 h",7/2+,+1.68(14),CLS,"Resonance Cell Laser Spectroscopy",1979Be25,"ZP A291 219 (1979)",indc-nds-0833
56,130,Ba,357,"42 ps",2+,"-1.02(15) or -0.09(15)",CER,"Coulomb excitation reorientation",1989Bu07,"NP A494 102 (1989)",indc-nds-0833
56,131,Ba,188,"14.6 m",9/2-,+1.54(14),CLS,"Resonance Cell Laser Spectroscopy",1983Mu12,"NP A403 234 (1983)",indc-nds-0833
56,133,Ba,288,"38.9 h",11/2-,+0.92(6),CLS,"Resonance Cell Laser Spectroscopy",1979Be25,"ZP A291 219 (1979)",indc-nds-0833
56,134,Ba,605,"5.1 ps",2+,"-0.26(12) or +0.15(12)",CER,"Coulomb excitation reorientation",1989Bu07,"NP A494 102 (1989)",indc-nds-0833
56,135,Ba,0,stable,3/2+,+0.153(2),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1984We15,"ZP A318 125 (1984)",indc-nds-0833
56,136,Ba,819,"1.93 ps",2+,"-0.19(6) or +0.07(7)",CER,"Coulomb excitation reorientation",1986Ro15,"PR C34 732 (1986)",indc-nds-0833
56,137,Ba,0,stable,3/2+,+0.236(3),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1984We15,"ZP A318 125 (1984)",indc-nds-0833
56,138,Ba,1436,"0.20 ps",2+,"-0.14(6) or +0.08(6)",CER,"Coulomb excitation reorientation",1989Bu07,"NP A494 102 (1989)",indc-nds-0833
56,139,Ba,0,"83.1 m",7/2-,-0.552(13),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1988We07,"ZP A329 407 (1988)",indc-nds-0833
56,140,Ba,602,"9 ps",2+,-0.5(3),CER,"Coulomb excitation reorientation",2012Ba40,"PR C86 034310 (2012)",indc-nds-0833
56,141,Ba,0,"18.3 m",3/2-,+0.437(10),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1988We07,"ZP A329 407 (1988)",indc-nds-0833
56,143,Ba,0,"14.5 s",5/2(+),-0.85(2),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1988We07,"ZP A329 407 (1988)",indc-nds-0833
56,145,Ba,0,"4.31 s",5/2(-),+1.18(2),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1988We07,"ZP A329 407 (1988)",indc-nds-0833
57,133,La,536,"62 ns",11/2-,1.7(3),TDPAD,"Time Dependent Perturbed Angular Distribution",2020La06,"PR C101  034315 (2020)",indc-nds-0833
57,135,La,0,"19.5 h",5/2+,-0.4(4),CLS,"Resonance Cell Laser Spectroscopy",2003Ii03,"PR C68 054328 (2003)",indc-nds-0833
57,137,La,0,"6 104 y",7/2+,+0.21(4),CLS,"Resonance Cell Laser Spectroscopy",2003Ii03,"PR C68 054328 (2003)",indc-nds-0833
57,138,La,0,"1.0 1011 y",5+,+0.39(3),CLS,"Resonance Cell Laser Spectroscopy",2003Ii03,"PR C68 054328 (2003)",indc-nds-0833
57,139,La,0,stable,7/2+,+0.206(4),LRS,"Laser Resonance Spectroscopy",2006Sc30,"Physica Scripta 73 217 (2006)",indc-nds-0833
57,140,La,0,"40.3 h",3-,+0.087(13),NO/S,"Static Nuclear Orientation with gamma detection",1966Bl05,"PR 143 911 (1966)",indc-nds-0833
58,129,Ce,108,"60 ns",(7/2-),1.32(13),TDPAD,"Time Dependent Perturbed Angular Distribution",1998Io01,"NP A633 459 (1998)",indc-nds-0833
58,130,Ce,2454,"100 ns",7-,1.8(2),TDPAD,"Time Dependent Perturbed Angular Distribution",1999Io02,"PR C60 024316 (1999)",indc-nds-0833
58,131,Ce,162,"88 ns",9/2-,0.92(10),TDPAD,"Time Dependent Perturbed Angular Distribution",1998Io01,"NP A633 459 (1998)",indc-nds-0833
58,134,Ce,3209,"308 ns",10+,+1.32(12),TDPAD,"Time Dependent Perturbed Angular Distribution",1983Da29,"HFI 15/16 101 (1983)",indc-nds-0833
58,136,Ce,3095,"2.2 ms",10+,+1.11(11),TDPAD,"Time Dependent Perturbed Angular Distribution",1983Da29,"HFI 15/16 101 (1983)",indc-nds-0833
58,138,Ce,3539,"81 ns",10+,"estimated +0.77 eb","not measured","The value is an estimation",1983Da29,"HFI 15/16 101 (1983)",indc-nds-0833
58,140,Ce,2083,"3.4 ns",4+,0.35(7),TDPAC,"Time Dependent Perturbed Angular Correlation",1973KlZV,"JPSJ 34 265 (1973)",indc-nds-0833
58,142,Ce,641,"5.6 ps",2+,"-0.16(5) or -0.37(5)",CER,"Coulomb excitation reorientation",1988Ve08,"PR C38 2982 (1988)",indc-nds-0833
59,141,Pr,0,stable,5/2+,-0.077(6),CLS,"Resonance Cell Laser Spectroscopy",1994Ii01,"PR C50 661 (1994)",indc-nds-0833
59,142,Pr,0,"19.1 h",2-,0.039(17),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1962Ca10,"PR 126 1004 (1962)",indc-nds-0833
59,143,Pr,0,"13.57 d",7/2+,+0.77(16),CLS,"Resonance Cell Laser Spectroscopy",1994Ii01,"PR C50 661 (1994)",indc-nds-0833
60,135,Nd,0,"12.4 m",9/2-,+1.9(5),CLS,"Resonance Cell Laser Spectroscopy",1992Le09,"JPhys G18 1177 (1992)",indc-nds-0833
60,139,Nd,0,"29.7 m",3/2+,+0.28(9),CLS,"Resonance Cell Laser Spectroscopy",1992Le09,"JPhys G18 1177 (1992)",indc-nds-0833
60,141,Nd,0,"2.49 h",3/2+,+0.32(13),CLS,"Resonance Cell Laser Spectroscopy",1992Le09,"JPhys G18 1177 (1992)",indc-nds-0833
60,143,Nd,0,stable,7/2-,-0.61(2),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1992Au04,"ZP D23 19 (1992)",indc-nds-0833
60,144,Nd,697,"2.97 ps",2+,"-0.15(6) or -0.28(6)",CER,"Coulomb excitation reorientation",1989Sp07,"AuJP 42 345 (1989)",indc-nds-0833
60,145,Nd,0,stable,7/2-,-0.314(12),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1992Au04,"ZP D23 19 (1992)",indc-nds-0833
60,146,Nd,454,"20.9 ps",2+,-0.78(9),CER,"Coulomb excitation reorientation",1970Ge08,"NP A151 252 (1970)",indc-nds-0833
60,147,Nd,0,"11.0 d",5/2-,+0.9(3),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1970PiZR,"BAPS 15 769 (1970)",indc-nds-0833
60,148,Nd,302,"80 ps",2+,-1.46(13),CER,"Coulomb excitation reorientation",1970Ge08,"NP A151 252 (1970)",indc-nds-0833
60,149,Nd,0,"1.73 h",5/2-,+1.3(3),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1970PiZR,"BAPS 15 769 (1970)",indc-nds-0833
60,150,Nd,130,"1.48 ns",2+,-2.0(5),CER,"Coulomb excitation reorientation",1970Ge08,"NP A151 252 (1970)",indc-nds-0833
61,145,Pm,0,"17.7 y",5/2+,+0.23(8),CLS,"Resonance Cell Laser Spectroscopy",1992Al03,"JP B25 571 (1992)",indc-nds-0833
61,147,Pm,0,"2.623 y",7/2+,+0.74(20),O,"Optical Spectroscopy",1966Re04,"PR 141  1123 (1966)",indc-nds-0833
61,148,Pm,0,"5.37 d",1-,+0.2(2),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1963Bu14,"PR 132 723 (1963)",indc-nds-0833
61,151,Pm,0,"28.4 h","5/2 +",2.2(9),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1963Bu14,"PR 132 723 (1963)",indc-nds-0833
62,140,Sm,3172,"19.4 ns",10+,1.7(5),TDPAD,"Time Dependent Perturbed Angular Distribution",1985Be23,"ZP A321 403 (1985)",indc-nds-0833
62,141,Sm,176,"22.6 m",11/2-,+1.6(5),CLS,"Resonance Cell Laser Spectroscopy",1992Le09,"JPhys G18 1177 (1992)",indc-nds-0833
62,142,Sm,2372," 170 ns",7-,+1.1(3),TDPAD,"Time Dependent Perturbed Angular Distribution",1985Be23,"ZP A321 403 (1985)",indc-nds-0833
62,143,Sm,0,"8.75 m",3/2+,+0.4(2),CLS,"Resonance Cell Laser Spectroscopy",1992Le09,"JPhys G18 1177 (1992)",indc-nds-0833
62,145,Sm,0,"340 d",7/2-,-0.60(7),LRFS,"Laser Resonance Fluorescence Spectroscopy",1990En01,"JPhys G16 105 (1990)",indc-nds-0833
62,147,Sm,0,"1.1 1011 y",7/2-,-0.26(3),Mu-X,"Muonic X-ray Hyperfine Structure",2008Py02,"Mol Phys 106 1965 (2008)",indc-nds-0833
62,148,Sm,550,"7.7 ps",2+,-1.0(3),CER,"Coulomb excitation reorientation",1989Ra17,"JPSJ 34 443 (1973)",indc-nds-0833
62,149,Sm,0,stable,7/2-,+0.075(8),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1972Ch55,"PR A6 2011 (1972)",indc-nds-0833
62,150,Sm,334,"48 ps",2+,-1.3(2),CER,"Coulomb excitation reorientation",1973Gr06,"PRL 30 453 (1973)",indc-nds-0833
62,151,Sm,0,"90 y",5/2-,+0.71(7),LRFS,"Laser Resonance Fluorescence Spectroscopy",1990En01,"JPhys G16 105 (1990)",indc-nds-0833
62,152,Sm,122,"1.40 ns",2+,-1.666(16),Mu-X,"Muonic X-ray Hyperfine Structure",1979Po05,"NP A316 295 (1979)",indc-nds-0833
62,153,Sm,0,"46.3 h",3/2+,+1.30(12),LRFS,"Laser Resonance Fluorescence Spectroscopy",1990En01,"JPhys G16 105 (1990)",indc-nds-0833
62,154,Sm,82,"3.0 ns",2+,-1.87(4),Mu-X,"Muonic X-ray Hyperfine Structure",1979Po05,"NP A316 295 (1979)",indc-nds-0833
62,155,Sm,0,"22.3 m",3/2-,1.13(13),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1976Fu06,"JPCR 5 835 (1976)",indc-nds-0833
63,140,Eu,"0 + x","1.51 s",1(+),+0.31(4),CLS,"Resonance Cell Laser Spectroscopy",1985Ah02,"ZP A321 35 (1985)",indc-nds-0833
63,141,Eu,0,"40.7 s",5/2+,+0.85(4),CLS,"Resonance Cell Laser Spectroscopy",1985Ah02,"ZP A321 35 (1985)",indc-nds-0833
63,142,Eu,0,"2.4 s",1+,+0.12(5),CLS,"Resonance Cell Laser Spectroscopy",1985Ah02,"ZP A321 35 (1985)",indc-nds-0833
63,143,Eu,0,"2.6 m",5/2+,+0.51(3),CLS,"Resonance Cell Laser Spectroscopy",1985Ah02,"ZP A321 35 (1985)",indc-nds-0833
63,144,Eu,0,"10 s",1+,+0.10(3),CLS,"Resonance Cell Laser Spectroscopy",1985Ah02,"ZP A321 35 (1985)",indc-nds-0833
